Corporation;52WeekLow;52WeekHigh;ShortRatio;ShortPercent;PriceToEarningsRatio;PriceToBookRatio;ShareYield;50DayMovingAverage;200DayMovingAverage;Country;OperativeMarge;BETA;EmployeeCount
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AirProductsAndChemicals,Inc;164.6553;327.89;1.09;0.6396;31.506;4.8924;0.02;278.8971;278.27299999999997;United States;0.2537;0.8184;19000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TerniumS.A;8.7802;31.42;0.57;0.9524;22.97;0.8538;0.0606;28.4848;20.3059;Luxembourg;0.0585;1.315;19863
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ThermoFisherScientificInc;249.8022;532.3223;1.21;0.055;38.1975;5.705;0.0019;464.6255;433.9505;United States;0.2127;0.8604;75000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheGorman-RuppCompany;21.1953;38.1539;7.77;0.5086;31.6895;2.6467;0.0191;33.5658;32.1519;United States;0.0906;0.5895;1200
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SyscoCorporation;25.3243;82.9177;3.23;1.3333;130.4524;28.9274;0.0246;73.5064;62.806000000000004;United States;0.0273;1.3638;57000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TenarisS.A;8.6134;22.2813;5.66;1.7907;13.880999999999998;0.8525;0.0176;15.9082;12.6358;Luxembourg;0.0342;1.8253;23200
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#HollyFrontierCorporation;16.5529;46.6171;2.34;4.0;20.6587;0.7697;0.0542;25.1918;24.3738;United States;-0.0038;1.8294;4074
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NutrienLtd;22.701;50.3252;3.76;1.0909;288.3832;1.207;0.0374;47.4785;39.8329;Canada;0.0794;0.7529;22300
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SensientTechnologiesCorporation;37.405;75.3;4.02;0.5552;46.3671;3.5065;0.0211;72.9188;61.4785;United States;0.1158;0.9690000000000001;4058
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheScottsMiracle-GroCompany;73.453;202.635;3.7;1.0221;29.2423;15.935;0.0125;181.9671;160.2329;United States;0.1466;1.1118;5932
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#FidelityNationalInformationServices,Inc;91.0208;156.6588;2.41;0.2583;630.3913;1.7753;0.0099;145.1553;142.9544;United States;0.122;0.8420000000000001;55000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#LumenTechnologies,Inc;7.6033;13.9724;9.19;0.6579;8.437000000000001;0.7902;0.1026;10.1679;9.9343;United States;0.1781;1.1071;39000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FordMotorCompany;3.96;9.49;1.5;0.7895;674.0;1.0641;0.1117;8.9809;7.4544;United States;-0.015;1.2824;187000
