issuer;shortRatioAmount;betaAmount;shortPercentAmount;lowAmount;highAmount;Low-High-Ratio;cluster
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NewSeniorInvestmentGroupInc;2.24;2.043;0.5078;1.645;7.7586;0.2120227876163225;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Lowe'sCompanies,Inc;2.46;1.3601;0.2725;59.2218;180.051;0.3289168069047104;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ServiceCorporationInternational;4.57;0.7102;0.325;33.4692;52.7637;0.634322460327839;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ManpowerGroupInc;2.22;2.0593;0.5256;48.2219;98.2437;0.4908396161789509;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#CabotOil&GasCorporation;2.79;0.1827;0.6897;12.8478;22.1328;0.5804868792019084;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#DolbyLaboratories,Inc;1.22;0.8819;0.2943;44.2493;97.5;0.4538389743589744;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#PiedmontOfficeRealtyTrust,Inc;2.96;0.9937;0.4421;11.1205;23.4791;0.4736339978960011;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#KamanCorporation;5.82;1.2367;0.3419;28.9948;65.2126;0.44461959805313706;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#KBHome;2.82;1.9444;0.209;9.7119;41.9917;0.2312814198996468;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#LexingtonRealtyTrust;3.77;0.6609;0.5487;7.544;11.8418;0.6370653110169062;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Church&DwightCo.,Inc;3.16;0.3659;0.3368;47.5713;98.6886;0.4820343991099276;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EssentialPropertiesRealtyTrust,Inc;3.58;1.3527;0.7949;5.7548;27.7733;0.20720620163970435;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Moody'sCorporation;3.18;1.1822;0.219;163.1793;305.3273;0.5344405822866152;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#JabilInc;3.52;1.3192;0.0928;17.4981;43.98;0.3978649386084585;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#InternationalFlavors&FragrancesInc;14.83;0.9921;0.5205;89.6897;140.3274;0.6391460256514409;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FlowserveCorporation;5.75;1.7601;0.4211;18.4533;49.8279;0.3703407127332278;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HuntingtonIngallsIndustries,Inc;1.9;0.8976;0.2899;135.5297;273.3166;0.4958707228174212;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FortiveCorporation;3.35;1.2239;0.0724;31.1269;74.1838;0.4195916089496628;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#IndependenceRealtyTrust,Inc;17.17;0.9533;0.6923;6.6593;16.0272;0.4154999001697115;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BradyCorporation;3.8;0.7717;0.3872;32.5096;57.3546;0.5668176571713516;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PerspectaInc;4.39;1.4669;0.1286;13.8976;29.092;0.4777120857967826;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TootsieRollIndustries,Inc;35.62;0.0021;0.3485;28.8193;38.5935;0.7467397359659009;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GeneralDynamicsCorporation;1.97;0.9978;0.3993;98.2414;185.7158;0.5289878405606846;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BrookfieldRenewablePartnersL.P;0.33;0.7128;0.0;15.5601;43.42;0.3583625057577153;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Avangrid,Inc;3.95;0.2261;0.8224;34.6137;55.662;0.6218551255793899;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HCIGroup,Inc;7.81;0.6961;0.4255;30.84;61.0104;0.5054875890012195;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#TangerFactoryOutletCenters,Inc;16.32;2.0131;0.4371;3.8538;15.7426;0.2448007317723883;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#VishayIntertechnology,Inc;6.01;1.4047;0.4935;11.045;22.7349;0.4858169598282817;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SunCokeEnergy,Inc;3.93;1.2084;2.6667;2.2143;6.249;0.35434469515122424;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#MeredithCorporation;10.73;2.305;0.1725;10.01;32.8262;0.30493934722873806;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AmericanEquityInvestmentLifeHoldingCompany;2.1;1.484;0.2406;8.9657;33.767;0.2655166286611189;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ExtraSpaceStorageInc;3.23;0.1701;0.7129;70.8399;120.0831;0.5899239776454805;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#IronMountainIncorporated;12.93;0.8131;1.0395;19.6945;31.5946;0.6233501927544581;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Manning&Napier,Inc;0.7;3.0394;0.1421;0.9738;6.65;0.1464360902255639;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#RymanHospitalityProperties,Inc;4.69;1.8126;0.0;12.8897;89.0705;0.14471345731751814;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SonicAutomotive,Inc;18.1;2.6273;0.1212;8.9241;46.7271;0.1909833907946352;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EthanAllenInteriorsInc;6.79;1.1501;1.76;8.0758;20.66;0.3908906098741529;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NaviosMaritimeAcquisitionCorporation;0.13;2.2226;0.2849;1.8796;7.6387;0.2460628117349811;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Phillips66;2.57;1.6499;1.989;38.3817;102.9135;0.3729510705592561;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EquityLifeStyleProperties,Inc;1.43;0.4336;0.6432;40.9815;75.7327;0.5411334865916573;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Ennis,Inc;5.66;0.452;0.8491;13.457;21.3727;0.6296350016609975;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#UnitedStatesSteelCorporation;2.28;2.463;0.0;4.5233;20.0;0.226165;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#RexfordIndustrialRealty,Inc;1.82;0.5995;0.6615;31.1631;52.765;0.5906017246280678;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#CONMEDCorporation;5.47;1.5318;0.3604;37.3944;114.96;0.32528183716075154;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#RobertHalfInternationalInc;5.44;1.6714;0.4772;31.7894;67.23;0.4728454558976647;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#CompassDiversified;0.61;1.7475;0.0;10.1296;23.6815;0.42774317505225606;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#CedarRealtyTrust,Inc;0.84;1.4436;0.1818;3.3514;18.925;0.17708850726552178;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BluegreenVacationsCorporation;14.36;1.6508;4.7699;2.7438;8.6143;0.3185168847149507;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EVERTEC,Inc;1.45;1.1402;0.1015;18.1188;42.35;0.4278347107438016;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#WasteConnections,Inc;1.46;0.6743;0.2857;70.4501;111.04;0.6344569524495678;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FreshDelMonteProduceInc;4.8;0.7239;0.3766;20.6124;37.1408;0.5549799681213113;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WestRockCompany;1.65;1.3591;0.3887;21.08;45.58;0.4624835454146555;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#PNMResources,Inc;2.79;0.5008;0.494;26.5245;54.9884;0.4823653716056477;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#A.O.SmithCorporation;4.01;1.0724;0.4925;33.2975;58.66;0.5676355267644051;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#SummitMidstreamPartners,LP;0.43;3.3706;0.0;7.5;52.9521;0.14163744214110488;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HudsonPacificProperties,Inc;4.1;1.031;0.495;15.6662;37.177;0.4213949484896576;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#JohnBeanTechnologiesCorporation;9.69;1.5801;0.0903;56.0048;129.624;0.4320557921372586;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#FidelityNationalInformationServices,Inc;2.41;0.8420000000000001;0.2583;91.0208;156.6588;0.5810130040572249;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#ChoiceHotelsInternational,Inc;7.1;1.4724;0.0911;46.0801;108.86;0.4232968950946169;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AdvancedDrainageSystems,Inc;3.01;1.4042;0.1315;22.0221;84.37;0.2610181344079649;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EntergyCorporation;1.17;0.505;0.6643;73.1516;131.8666;0.5547394108894899;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#WyndhamHotels&Resorts,Inc;3.48;1.8065;0.3164;14.4314;61.0055;0.23655899877879866;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BlackHillsCorporation;3.39;0.2488;0.5978;46.7599;83.62700000000002;0.5591483611752185;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheCloroxCompany;8.41;0.1958;0.4889;147.639;238.6375;0.6186747682153895;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#WelltowerInc;3.41;1.0021;0.7162;23.3889;85.8659;0.2723886898058484;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AmericanWaterWorksCompany,Inc;1.47;0.1843;0.5614;95.4979;172.56;0.5534185210941122;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BorgWarnerInc;6.11;1.7538;0.2537;16.7681;43.034;0.38964772040712;1
